47.7,-124.2,48.0,-122.7,10091
47.7,-124.2,47.7,-122.7,10978
47.7,-124.2,47.4,-122.7,11710
47.7,-124.2,48.0,-123.6,7182
47.7,-124.2,47.7,-123.6,NaN
47.7,-124.2,47.4,-123.6,7388
47.7,-124.2,48.3,-123.0,NaN
47.7,-124.2,48.0,-124.8,NaN
47.7,-124.2,48.0,-123.0,8360
47.7,-124.2,47.7,-123.0,11343
47.7,-124.2,47.4,-123.0,12480
47.7,-124.2,47.1,-123.6,6926
47.7,-124.2,46.8,-123.6,9118
47.7,-124.2,48.0,-123.9,5101
47.4,-124.2,47.1,-124.2,3428
47.4,-124.2,48.3,-124.2,NaN
47.4,-124.2,48.0,-124.2,8555
47.4,-124.2,48.3,-124.5,8957
47.4,-124.2,48.0,-124.5,6806
47.4,-124.2,47.7,-124.5,NaN
47.4,-124.2,48.0,-123.3,11024
47.4,-124.2,47.7,-123.3,NaN
47.4,-124.2,47.4,-123.3,10567
47.4,-124.2,47.1,-123.3,7546
47.4,-124.2,46.8,-123.3,7738
47.4,-124.2,48.0,-122.7,13178
47.4,-124.2,47.7,-122.7,11595
47.4,-124.2,47.4,-122.7,10728
47.4,-124.2,48.0,-123.6,10292
47.4,-124.2,47.7,-123.6,NaN
47.4,-124.2,47.4,-123.6,6405
47.4,-124.2,48.3,-123.0,NaN
47.4,-124.2,48.0,-124.8,NaN
47.4,-124.2,48.0,-123.0,11447
47.4,-124.2,47.7,-123.0,11844
47.4,-124.2,47.4,-123.0,11506
47.4,-124.2,47.1,-123.6,5944
47.4,-124.2,46.8,-123.6,7780
47.4,-124.2,48.0,-123.9,8156
47.1,-124.2,48.3,-124.2,NaN
47.1,-124.2,48.0,-124.2,10135
47.1,-124.2,48.3,-124.5,10556
47.1,-124.2,48.0,-124.5,8385
47.1,-124.2,47.7,-124.5,NaN
47.1,-124.2,48.0,-123.3,12598
47.1,-124.2,47.7,-123.3,NaN
47.1,-124.2,47.4,-123.3,8066
47.1,-124.2,47.1,-123.3,5065
47.1,-124.2,46.8,-123.3,5251
47.1,-124.2,48.0,-122.7,11012
47.1,-124.2,47.7,-122.7,9079
47.1,-124.2,47.4,-122.7,8215
47.1,-124.2,48.0,-123.6,11870
47.1,-124.2,47.7,-123.6,NaN
47.1,-124.2,47.4,-123.6,5260
47.1,-124.2,48.3,-123.0,NaN
47.1,-124.2,48.0,-124.8,NaN
47.1,-124.2,48.0,-123.0,11094
47.1,-124.2,47.7,-123.0,9333
47.1,-124.2,47.4,-123.0,8983
47.1,-124.2,47.1,-123.6,4450
47.1,-124.2,46.8,-123.6,5179
47.1,-124.2,48.0,-123.9,9742
48.3,-124.2,48.0,-124.2,NaN
48.3,-124.2,48.3,-124.5,NaN
48.3,-124.2,48.0,-124.5,NaN
48.3,-124.2,47.7,-124.5,NaN
48.3,-124.2,48.0,-123.3,NaN
48.3,-124.2,47.7,-123.3,NaN
48.3,-124.2,47.4,-123.3,NaN
48.3,-124.2,47.1,-123.3,NaN
48.3,-124.2,46.8,-123.3,NaN
48.3,-124.2,48.0,-122.7,NaN
48.3,-124.2,47.7,-122.7,NaN
48.3,-124.2,47.4,-122.7,NaN
48.3,-124.2,48.0,-123.6,NaN
48.3,-124.2,47.7,-123.6,NaN
48.3,-124.2,47.4,-123.6,NaN
48.3,-124.2,48.3,-123.0,NaN
48.3,-124.2,48.0,-124.8,NaN
48.3,-124.2,48.0,-123.0,NaN
48.3,-124.2,47.7,-123.0,NaN
48.3,-124.2,47.4,-123.0,NaN
48.3,-124.2,47.1,-123.6,NaN
48.3,-124.2,46.8,-123.6,NaN
48.3,-124.2,48.0,-123.9,NaN
48.0,-124.2,48.3,-124.5,6255
48.0,-124.2,48.0,-124.5,4112
48.0,-124.2,47.7,-124.5,NaN
48.0,-124.2,48.0,-123.3,8280
48.0,-124.2,47.7,-123.3,NaN
48.0,-124.2,47.4,-123.3,15594
48.0,-124.2,47.1,-123.3,12876
48.0,-124.2,46.8,-123.3,13054
48.0,-124.2,48.0,-122.7,10432
48.0,-124.2,47.7,-122.7,11325
48.0,-124.2,47.4,-122.7,13049
48.0,-124.2,48.0,-123.6,7535
48.0,-124.2,47.7,-123.6,NaN
48.0,-124.2,47.4,-123.6,11737
48.0,-124.2,48.3,-123.0,NaN
48.0,-124.2,48.0,-124.8,NaN
48.0,-124.2,48.0,-123.0,8704
48.0,-124.2,47.7,-123.0,11689
48.0,-124.2,47.4,-123.0,14113
48.0,-124.2,47.1,-123.6,11272
48.0,-124.2,46.8,-123.6,13471
48.0,-124.2,48.0,-123.9,5454
48.3,-124.5,48.0,-124.5,4217
48.3,-124.5,47.7,-124.5,NaN
48.3,-124.5,48.0,-123.3,7046
48.3,-124.5,47.7,-123.3,NaN
48.3,-124.5,47.4,-123.3,14357
48.3,-124.5,47.1,-123.3,13256
48.3,-124.5,46.8,-123.3,13438
48.3,-124.5,48.0,-122.7,9211
48.3,-124.5,47.7,-122.7,10102
48.3,-124.5,47.4,-122.7,11821
48.3,-124.5,48.0,-123.6,6630
48.3,-124.5,47.7,-123.6,NaN
48.3,-124.5,47.4,-123.6,12120
48.3,-124.5,48.3,-123.0,NaN
48.3,-124.5,48.0,-124.8,NaN
48.3,-124.5,48.0,-123.0,7479
48.3,-124.5,47.7,-123.0,10455
48.3,-124.5,47.4,-123.0,12888
48.3,-124.5,47.1,-123.6,11653
48.3,-124.5,46.8,-123.6,13839
48.3,-124.5,48.0,-123.9,4550
48.0,-124.5,47.7,-124.5,NaN
48.0,-124.5,48.0,-123.3,6313
48.0,-124.5,47.7,-123.3,NaN
48.0,-124.5,47.4,-123.3,13615
48.0,-124.5,47.1,-123.3,11100
48.0,-124.5,46.8,-123.3,11284
48.0,-124.5,48.0,-122.7,8476
48.0,-124.5,47.7,-122.7,9366
48.0,-124.5,47.4,-122.7,11102
48.0,-124.5,48.0,-123.6,5583
48.0,-124.5,47.7,-123.6,NaN
48.0,-124.5,47.4,-123.6,9976
48.0,-124.5,48.3,-123.0,NaN
48.0,-124.5,48.0,-124.8,NaN
48.0,-124.5,48.0,-123.0,6739
48.0,-124.5,47.7,-123.0,9719
48.0,-124.5,47.4,-123.0,12161
48.0,-124.5,47.1,-123.6,9514
48.0,-124.5,46.8,-123.6,11724
48.0,-124.5,48.0,-123.9,3505
47.7,-124.5,48.0,-123.3,NaN
47.7,-124.5,47.7,-123.3,NaN
47.7,-124.5,47.4,-123.3,NaN
47.7,-124.5,47.1,-123.3,NaN
47.7,-124.5,46.8,-123.3,NaN
47.7,-124.5,48.0,-122.7,NaN
47.7,-124.5,47.7,-122.7,NaN
47.7,-124.5,47.4,-122.7,NaN
47.7,-124.5,48.0,-123.6,NaN
47.7,-124.5,47.7,-123.6,NaN
47.7,-124.5,47.4,-123.6,NaN
47.7,-124.5,48.3,-123.0,NaN
47.7,-124.5,48.0,-124.8,NaN
47.7,-124.5,48.0,-123.0,NaN
47.7,-124.5,47.7,-123.0,NaN
47.7,-124.5,47.4,-123.0,NaN
47.7,-124.5,47.1,-123.6,NaN
47.7,-124.5,46.8,-123.6,NaN
47.7,-124.5,48.0,-123.9,NaN
48.0,-123.3,47.7,-123.3,NaN
48.0,-123.3,47.4,-123.3,9253
48.0,-123.3,47.1,-123.3,9221
48.0,-123.3,46.8,-123.3,10968
48.0,-123.3,48.0,-122.7,4168
48.0,-123.3,47.7,-122.7,5043
48.0,-123.3,47.4,-122.7,6791
48.0,-123.3,48.0,-123.6,3792
48.0,-123.3,47.7,-123.6,NaN
48.0,-123.3,47.4,-123.6,12547
48.0,-123.3,48.3,-123.0,NaN
48.0,-123.3,48.0,-124.8,NaN
48.0,-123.3,48.0,-123.0,2416
48.0,-123.3,47.7,-123.0,5381
48.0,-123.3,47.4,-123.0,7849
48.0,-123.3,47.1,-123.6,10812
48.0,-123.3,46.8,-123.6,12781
48.0,-123.3,48.0,-123.9,4923
47.7,-123.3,47.4,-123.3,NaN
47.7,-123.3,47.1,-123.3,NaN
47.7,-123.3,46.8,-123.3,NaN
47.7,-123.3,48.0,-122.7,NaN
47.7,-123.3,47.7,-122.7,NaN
47.7,-123.3,47.4,-122.7,NaN
47.7,-123.3,48.0,-123.6,NaN
47.7,-123.3,47.7,-123.6,NaN
47.7,-123.3,47.4,-123.6,NaN
47.7,-123.3,48.3,-123.0,NaN
